API_NO,WELL_NAME,FIELD,OPERATOR,LATITUDE,LONGITUDE,COUNTY,STATE,FORMATION,STATUS,SPUD_DATE,FIRST_PROD_DATE,TVD_FT,MD_FT,LATERAL_LENGTH_FT,PERF_TOP_FT,PERF_BOTTOM_FT
42-301-53055,Ramirez 2H,Ward-Estes,Texas Energy LLC,31.956998,-103.786241,Loving,TX,Bone Spring,ACTIVE,2022-02-05,2022-03-23,9855,16673,6414,9399,10086
42-389-91654,Bryant 9H,Kermit,Texas Energy LLC,31.47219,-103.634545,Reeves,TX,Wolfcamp C,ACTIVE,2022-02-13,2022-05-01,10111,22268,12567,9997,10223
42-475-98194,Richardson 6H,Grandfalls,Texas Energy LLC,31.591651,-103.372037,Ward,TX,Avalon Shale,ACTIVE,2024-04-15,2024-06-25,10979,18014,7162,10709,11233
42-301-76210,Diaz 1H,Monahans,Texas Energy LLC,31.845941,-103.78253,Loving,TX,1st Bone Spring,SHUT-IN,2023-01-05,2023-03-29,12089,17288,5570,11955,12199
42-475-67912,Wheeler 8H,Monahans,Texas Energy LLC,31.526529,-103.416309,Ward,TX,Bone Spring,SHUT-IN,2023-10-27,2024-01-12,10804,16214,5745,10326,10990
42-475-63071,Edwards 10H,Buena Vista,Texas Energy LLC,31.218675,-103.125489,Ward,TX,Bone Spring,ACTIVE,2024-10-01,2024-12-05,10542,16443,6077,10354,10602
42-495-31105,Baker 8H,Pecos Valley,Texas Energy LLC,31.749906,-103.31476,Winkler,TX,Wolfcamp B,ACTIVE,2024-04-03,2024-06-26,10983,19345,8623,10631,11280
42-389-53737,Mitchell 1H,Buena Vista,Texas Energy LLC,31.098333,-103.267913,Reeves,TX,Wolfcamp B,ACTIVE,2023-02-24,2023-05-23,11967,19863,8356,11529,12162
42-371-61051,Ford 9H,Red Hills,Texas Energy LLC,30.741412,-103.613761,Pecos,TX,Wolfcamp C,ACTIVE,2023-11-22,2024-02-02,13053,25721,13120,12777,13344
42-389-30160,State 5H,Balmorhea,Texas Energy LLC,31.108295,-103.11391,Reeves,TX,Bone Spring,ACTIVE,2022-05-21,2022-07-21,10716,22760,12426,10346,10959
42-371-65965,Long 5H,Reeves County,Texas Energy LLC,30.568429,-103.475088,Pecos,TX,Bone Spring,ACTIVE,2024-05-22,2024-07-22,13480,18309,5202,13223,13675
42-475-72432,Owens 12H,Fort Stockton,Texas Energy LLC,31.532031,-103.088248,Ward,TX,Wolfcamp A,SHUT-IN,2025-06-04,2025-08-31,11829,21167,9305,11360,11879
42-475-37184,Morris 4H,Buena Vista,Texas Energy LLC,31.435648,-103.357384,Ward,TX,Wolfcamp C,ACTIVE,2025-10-13,2025-12-25,9742,19475,9811,9600,9963
42-475-42995,Owens 4H,Fort Stockton,Texas Energy LLC,31.536513,-103.075426,Ward,TX,Delaware Mountain,ACTIVE,2022-09-16,2022-11-20,8662,20789,11652,8316,8838
42-109-65373,Owens 11H,Ward-Estes,Texas Energy LLC,31.82873,-104.686467,Culberson,TX,Bone Spring,ACTIVE,2025-08-06,2025-10-14,8685,17286,8411,8492,8842
42-389-62013,Torres 8H,Delaware Basin,Texas Energy LLC,31.798471,-103.709199,Reeves,TX,1st Bone Spring,ACTIVE,2023-08-23,2023-10-29,10304,22800,12266,10050,10595
42-371-49372,Harris 6V,Imperial,Texas Energy LLC,31.025313,-103.255832,Pecos,TX,Brushy Canyon,ACTIVE,2023-01-11,2023-03-18,10928,25230,13956,10745,11188
42-371-41090,Richardson 9H,Pecos Valley,Texas Energy LLC,31.283943,-103.142007,Pecos,TX,Wolfcamp C,ACTIVE,2022-09-26,2022-11-28,12875,24807,12289,12480,13050
42-495-47453,Mitchell 6V,Balmorhea,Texas Energy LLC,31.964264,-103.010191,Winkler,TX,Delaware Mountain,SHUT-IN,2025-11-10,2026-01-09,11365,21062,9440,11236,11659
42-475-84590,Fisher 3V,Ward-Estes,Texas Energy LLC,31.274859,-103.408788,Ward,TX,1st Bone Spring,ACTIVE,2024-08-26,2024-11-20,8608,17919,9698,8429,8673
42-301-55035,Davis 11H,Fort Stockton,Texas Energy LLC,31.719548,-103.804948,Loving,TX,Bone Spring,ACTIVE,2023-03-02,2023-04-28,8707,23165,14714,8357,8856
42-475-96540,Harrison 3V,Grandfalls,Texas Energy LLC,31.504485,-103.42358,Ward,TX,Brushy Canyon,ACTIVE,2024-08-01,2024-09-22,11473,21256,10038,11344,11584
42-109-43577,Wilson 2V,Ward-Estes,Texas Energy LLC,31.957251,-104.692567,Culberson,TX,Wolfcamp A,SHUT-IN,2023-12-11,2024-02-07,10662,23942,13280,10434,10943
42-371-85146,Howard 11H,Culberson County,Texas Energy LLC,31.113303,-103.05547,Pecos,TX,Delaware Mountain,ACTIVE,2025-02-17,2025-04-21,9689,23760,13769,9402,9887
42-389-76129,Morris 7H,Grandfalls,Texas Energy LLC,31.548467,-103.204574,Reeves,TX,Wolfcamp A,ACTIVE,2024-02-14,2024-04-28,10486,20579,9734,10152,10668
42-389-31783,Reynolds 9H,Kermit,Texas Energy LLC,31.110294,-103.530943,Reeves,TX,Wolfcamp A,ACTIVE,2025-01-07,2025-03-17,12734,23857,11574,12465,13021
42-301-32947,Coleman 5H,Pecos Valley,Texas Energy LLC,31.686546,-103.904869,Loving,TX,Bone Spring,ACTIVE,2024-06-22,2024-09-14,13328,28104,14302,12978,13497
42-495-87373,White 3H,Toyah,Texas Energy LLC,31.756102,-103.089787,Winkler,TX,1st Bone Spring,ACTIVE,2025-03-03,2025-05-29,8591,17724,9476,8266,8732
42-301-53576,Ward 11H,Coyanosa,Texas Energy LLC,31.770285,-103.857518,Loving,TX,Wolfcamp A,ACTIVE,2025-11-17,2026-01-07,12308,18515,6353,11857,12545
42-475-70304,Phillips 7H,Grandfalls,Texas Energy LLC,31.403821,-103.420704,Ward,TX,Wolfcamp B,ACTIVE,2022-05-25,2022-07-25,9173,22135,12568,9053,9433
42-371-82336,Bennett 11H,Wink,Texas Energy LLC,30.683391,-102.723376,Pecos,TX,Wolfcamp B,ACTIVE,2025-01-12,2025-03-18,10559,24450,14317,10370,10848
42-109-82873,Taylor 4H,Toyah,Texas Energy LLC,31.313387,-104.620543,Culberson,TX,Bone Spring,ACTIVE,2022-06-23,2022-09-17,8806,20350,11147,8379,8921
42-475-89497,Graham 11H,Wink,Texas Energy LLC,31.200977,-103.286443,Ward,TX,Delaware Mountain,ACTIVE,2025-05-04,2025-07-31,12745,25396,12644,12460,12927
42-389-68038,Ramirez 4H,Van Horn,Texas Energy LLC,31.756308,-103.195085,Reeves,TX,3rd Bone Spring,SHUT-IN,2024-04-25,2024-06-19,12581,25992,13433,12226,12856
42-389-91846,Bell 1H,Loving,Texas Energy LLC,31.499695,-103.17682,Reeves,TX,Wolfcamp B,ACTIVE,2025-04-14,2025-07-03,8634,14488,6249,8245,8913
42-475-48758,Sanders 5H,Fort Stockton,Texas Energy LLC,31.316094,-103.181048,Ward,TX,Delaware Mountain,SHUT-IN,2023-02-15,2023-04-23,13313,23368,9901,12996,13539
42-495-90710,Gibson 8H,Delaware Basin,Texas Energy LLC,31.838003,-103.233743,Winkler,TX,Bone Spring,ACTIVE,2023-03-12,2023-05-26,12303,22325,10256,11821,12602
42-371-34152,Patterson 8H,Toyah,Texas Energy LLC,30.5748,-103.306957,Pecos,TX,1st Bone Spring,ACTIVE,2025-07-21,2025-09-25,13135,20113,6562,12765,13420
42-475-56336,Harrison 4H,Coyanosa,Texas Energy LLC,31.341281,-103.432262,Ward,TX,Avalon Shale,ACTIVE,2025-02-16,2025-04-03,12524,19062,6709,12137,12697
42-389-58110,Perry 2H,Fort Stockton,Texas Energy LLC,31.654031,-103.466901,Reeves,TX,3rd Bone Spring,ACTIVE,2022-01-20,2022-03-23,9726,16303,6787,9232,9978
42-475-95327,West 7H,Balmorhea,Texas Energy LLC,31.324385,-103.315281,Ward,TX,Wolfcamp A,SHUT-IN,2023-07-02,2023-09-09,11803,24516,12595,11306,12012
42-389-44618,Patterson 3H,Kermit,Texas Energy LLC,31.07751,-103.790437,Reeves,TX,Wolfcamp B,ACTIVE,2024-04-21,2024-06-22,10220,24686,14573,10076,10497
42-389-38020,White 10H,Van Horn,Texas Energy LLC,31.610029,-103.518447,Reeves,TX,Wolfcamp C,ACTIVE,2022-11-19,2023-02-06,9808,22466,13036,9421,9897
42-475-43404,Turner 2V,Buena Vista,Texas Energy LLC,31.387297,-103.352239,Ward,TX,Wolfcamp B,ACTIVE,2023-07-09,2023-09-22,8722,17719,9100,8462,8868
42-371-81432,Hamilton 2H,Imperial,Texas Energy LLC,31.035262,-103.476461,Pecos,TX,Wolfcamp A,ACTIVE,2022-01-10,2022-02-24,13315,22755,9027,13209,13548
42-371-83170,Russell 5V,Red Hills,Texas Energy LLC,30.861683,-103.520713,Pecos,TX,Wolfcamp C,ACTIVE,2024-06-06,2024-08-06,11293,24567,12984,10912,11459
42-389-31219,Ford 9H,Orla,Texas Energy LLC,31.240893,-103.336835,Reeves,TX,1st Bone Spring,ACTIVE,2025-02-17,2025-05-12,9464,18711,9631,9310,9641
42-371-57277,Land Trust 3H,Toyah,Texas Energy LLC,30.721141,-103.548165,Pecos,TX,Bone Spring,ACTIVE,2022-01-21,2022-03-30,10835,19213,8433,10607,10970
42-475-99522,Long 7H,Balmorhea,Texas Energy LLC,31.467383,-103.262423,Ward,TX,Wolfcamp B,SHUT-IN,2024-04-04,2024-06-26,9251,20349,11262,8993,9349
42-109-55785,Rogers 4H,Kermit,Texas Energy LLC,31.602436,-104.065392,Culberson,TX,Wolfcamp C,ACTIVE,2025-07-13,2025-09-02,10640,20699,9948,10381,10734
42-389-37938,Minerals 9H,Monahans,Texas Energy LLC,31.588396,-103.66354,Reeves,TX,Wolfcamp B,ACTIVE,2022-05-09,2022-07-06,9680,19056,9851,9566,9896
42-475-51891,Rogers 8V,Wink,Texas Energy LLC,31.232644,-103.477141,Ward,TX,Bone Spring,ACTIVE,2025-11-05,2026-01-10,12515,23668,10885,12319,12607
42-495-62185,Rivera 12H,Reeves County,Texas Energy LLC,32.089677,-103.437757,Winkler,TX,Bone Spring,ACTIVE,2023-08-10,2023-10-17,11796,17028,5607,11460,11852
42-371-56467,Bell 12H,Mentone,Texas Energy LLC,31.206039,-103.682766,Pecos,TX,2nd Bone Spring,ACTIVE,2022-02-23,2022-05-07,11473,17906,6397,11011,11621
42-389-66160,Sanders 2H,Culberson County,Texas Energy LLC,31.151847,-103.714488,Reeves,TX,1st Bone Spring,ACTIVE,2022-06-08,2022-07-31,13125,21057,8362,12634,13316
42-371-87264,Wallace 6V,Kermit,Texas Energy LLC,30.576834,-103.115457,Pecos,TX,Avalon Shale,ACTIVE,2025-08-14,2025-10-24,12278,18165,5453,11892,12334
42-495-71991,Sullivan 12H,Reeves County,Texas Energy LLC,31.85999,-103.299883,Winkler,TX,Delaware Mountain,ACTIVE,2025-03-13,2025-05-15,10289,24132,13613,10008,10341
42-109-39269,Nelson 9V,Orla,Texas Energy LLC,31.452409,-104.705433,Culberson,TX,Bone Spring,ACTIVE,2025-03-02,2025-05-23,12924,25206,12123,12657,13187
42-389-33620,Edwards 3H,Monahans,Texas Energy LLC,31.192992,-103.253121,Reeves,TX,Wolfcamp C,ACTIVE,2023-08-24,2023-10-21,9976,16176,5977,9786,10070
42-301-60464,State 4H,Mentone,Texas Energy LLC,31.801368,-103.647685,Loving,TX,1st Bone Spring,ACTIVE,2025-04-20,2025-06-09,8990,16126,7253,8635,9115
42-475-65779,Peterson 6H,Monahans,Texas Energy LLC,31.578151,-103.099508,Ward,TX,1st Bone Spring,SHUT-IN,2024-03-25,2024-06-07,9385,16142,7001,9035,9562
42-389-73257,Cole 8H,Wink,Texas Energy LLC,31.513628,-103.748151,Reeves,TX,2nd Bone Spring,ACTIVE,2025-06-26,2025-09-07,10612,24702,14309,10208,10671
42-301-53331,Davis 7V,Coyanosa,Texas Energy LLC,31.897939,-103.623353,Loving,TX,Wolfcamp B,ACTIVE,2022-02-19,2022-04-18,12805,27634,14666,12408,13082
42-371-86615,Anderson 1V,Pecos Valley,Texas Energy LLC,30.853293,-102.869052,Pecos,TX,Wolfcamp A,ACTIVE,2022-12-17,2023-02-09,9628,18298,8645,9300,9830
42-389-52825,Scott 6V,Balmorhea,Texas Energy LLC,31.175156,-103.616601,Reeves,TX,Wolfcamp B,ACTIVE,2024-02-01,2024-04-29,9624,21002,11208,9468,9760
42-109-31035,Alexander 3H,Balmorhea,Texas Energy LLC,31.878902,-104.079833,Culberson,TX,Wolfcamp C,ACTIVE,2025-12-12,2026-03-08,11813,20447,8232,11559,11884
42-495-91581,Stewart 5V,Grandfalls,Texas Energy LLC,31.850908,-103.294404,Winkler,TX,Bone Spring,ACTIVE,2022-04-24,2022-06-14,11517,20541,8955,11060,11695
42-389-89267,Hill 4H,Wink,Texas Energy LLC,31.049147,-103.102275,Reeves,TX,1st Bone Spring,ACTIVE,2024-06-06,2024-08-04,9176,19609,10278,8801,9461
42-371-66493,Peterson 5H,Coyanosa,Texas Energy LLC,30.53913,-102.54011,Pecos,TX,Avalon Shale,ACTIVE,2025-06-05,2025-08-08,8502,14485,6226,8040,8694
42-475-81483,Myers 11H,Fort Stockton,Texas Energy LLC,31.469066,-103.106347,Ward,TX,Bone Spring,ACTIVE,2024-07-27,2024-10-18,11432,22449,11336,10939,11689
42-301-63499,Simmons 6H,Orla,Texas Energy LLC,31.742615,-103.730441,Loving,TX,Wolfcamp B,ACTIVE,2023-06-08,2023-08-07,13239,28247,14720,12750,13419
42-371-96143,Thompson 5V,Fort Stockton,Texas Energy LLC,30.525397,-103.152697,Pecos,TX,Brushy Canyon,ACTIVE,2025-02-16,2025-05-14,12929,21624,8946,12721,13022
42-301-92230,Cook 10H,Fort Stockton,Texas Energy LLC,31.663512,-103.712454,Loving,TX,Bone Spring,ACTIVE,2022-03-15,2022-05-03,11770,27005,14909,11544,11954
42-475-54488,Roberts 10H,Buena Vista,Texas Energy LLC,31.329144,-103.280352,Ward,TX,Wolfcamp B,ACTIVE,2023-01-05,2023-03-06,9993,15437,5355,9845,10107
42-389-99963,State 6V,Pecos Valley,Texas Energy LLC,31.159531,-103.538829,Reeves,TX,Wolfcamp A,ACTIVE,2023-04-23,2023-06-29,11056,17773,7112,10760,11234
42-495-96988,Woods 2H,Culberson County,Texas Energy LLC,32.066815,-103.215824,Winkler,TX,Wolfcamp C,ACTIVE,2025-10-20,2026-01-11,10774,25407,14426,10405,10848
42-389-36490,Simmons 11H,Loving,Texas Energy LLC,31.7446,-103.304192,Reeves,TX,1st Bone Spring,ACTIVE,2022-01-01,2022-03-12,10858,19893,8542,10603,11105
42-109-33980,Scott 1H,Loving,Texas Energy LLC,31.916203,-104.054365,Culberson,TX,Wolfcamp A,ACTIVE,2024-05-01,2024-07-29,13113,25536,12859,12639,13340
42-389-88361,Kelly 10H,Van Horn,Texas Energy LLC,31.771093,-103.469958,Reeves,TX,Wolfcamp A,ACTIVE,2025-01-11,2025-02-25,9341,21340,12074,8988,9579
42-389-75332,Johnson 6V,Culberson County,Texas Energy LLC,31.042957,-103.494038,Reeves,TX,2nd Bone Spring,SHUT-IN,2024-01-21,2024-03-23,12190,24961,13038,11908,12381
42-389-78394,University 12V,Kermit,Texas Energy LLC,31.720861,-103.12247,Reeves,TX,3rd Bone Spring,ACTIVE,2022-05-28,2022-07-13,10427,22719,12073,10025,10577
42-389-79996,Edwards 8H,Red Hills,Texas Energy LLC,31.295521,-103.487957,Reeves,TX,Wolfcamp B,ACTIVE,2022-03-25,2022-06-22,9292,15880,6404,9016,9548
42-371-62366,West 11H,Culberson County,Texas Energy LLC,31.161361,-103.468591,Pecos,TX,Wolfcamp A,SHUT-IN,2023-06-24,2023-09-11,12620,19765,7372,12201,12898
42-389-61640,Henderson 5H,Buena Vista,Texas Energy LLC,31.682556,-103.147734,Reeves,TX,1st Bone Spring,ACTIVE,2022-10-16,2022-12-16,8745,14119,5528,8430,8861
42-371-62499,Reynolds 8H,Fort Stockton,Texas Energy LLC,30.672269,-102.823056,Pecos,TX,Bone Spring,ACTIVE,2025-10-06,2025-12-13,12053,17063,5202,11891,12166
42-301-84773,Turner 12H,Culberson County,Texas Energy LLC,31.884385,-103.910338,Loving,TX,2nd Bone Spring,ACTIVE,2023-05-22,2023-07-23,9634,15463,6195,9240,9712
42-389-97765,Barnes 5H,Van Horn,Texas Energy LLC,31.427186,-103.578991,Reeves,TX,Bone Spring,ACTIVE,2022-07-04,2022-10-01,9838,15541,5983,9608,10009
42-475-97725,Hamilton 10H,Fort Stockton,Texas Energy LLC,31.34877,-103.124459,Ward,TX,Bone Spring,ACTIVE,2024-08-11,2024-11-04,13177,24159,10710,12811,13259
42-301-79965,Bass 4H,Grandfalls,Texas Energy LLC,31.647305,-103.846542,Loving,TX,Wolfcamp A,ACTIVE,2025-12-24,2026-02-08,11226,21671,10598,10763,11437
42-389-38906,Davis 11H,Ward-Estes,Texas Energy LLC,31.009569,-103.731611,Reeves,TX,Wolfcamp B,ACTIVE,2024-04-02,2024-05-18,9253,15645,5931,8849,9471
42-109-38760,Collins 5H,Ward-Estes,Texas Energy LLC,31.753853,-104.442537,Culberson,TX,Bone Spring,ACTIVE,2024-10-06,2024-12-04,11064,18324,6925,10755,11296
42-475-32216,Hill 4H,Balmorhea,Texas Energy LLC,31.673323,-103.317012,Ward,TX,Wolfcamp B,ACTIVE,2025-01-05,2025-03-31,12185,24898,13044,11824,12431
42-109-82162,King 8H,Coyanosa,Texas Energy LLC,31.789306,-104.794864,Culberson,TX,Wolfcamp A,ACTIVE,2024-12-14,2025-02-07,9945,20773,11138,9485,10029
42-109-67877,Torres 3H,Grandfalls,Texas Energy LLC,31.977702,-104.680567,Culberson,TX,Bone Spring,ACTIVE,2025-05-23,2025-07-27,9613,22005,12660,9330,9826
42-371-58419,Cole 2H,Orla,Texas Energy LLC,31.260391,-102.970492,Pecos,TX,Delaware Mountain,ACTIVE,2025-11-25,2026-02-19,13137,21581,8027,12981,13365
42-371-96176,Ward 2H,Coyanosa,Texas Energy LLC,30.897333,-102.549789,Pecos,TX,Brushy Canyon,ACTIVE,2022-01-06,2022-03-05,8717,14298,5481,8563,8852
42-389-31958,Ramirez 2H,Fort Stockton,Texas Energy LLC,31.278933,-103.64411,Reeves,TX,Brushy Canyon,SHUT-IN,2025-03-28,2025-06-19,8505,18594,10102,8165,8785
42-475-98214,Morgan 3H,Ward-Estes,Texas Energy LLC,31.65214,-103.488278,Ward,TX,1st Bone Spring,ACTIVE,2025-06-02,2025-08-03,12252,18406,6314,11870,12310
42-389-61757,Graham 3V,Loving,Texas Energy LLC,31.32059,-103.543613,Reeves,TX,Wolfcamp A,ACTIVE,2024-03-16,2024-05-23,11539,23660,12234,11201,11636
42-475-94779,State 5H,Ward-Estes,Texas Energy LLC,31.601811,-103.291827,Ward,TX,Wolfcamp B,ACTIVE,2025-10-04,2025-12-26,9560,23025,13677,9286,9795
42-495-95707,Williams 6H,Balmorhea,Texas Energy LLC,31.845772,-103.478713,Winkler,TX,2nd Bone Spring,ACTIVE,2022-11-16,2023-01-29,11286,21591,10243,11115,11358
42-109-70160,Peterson 7H,Ward-Estes,Texas Energy LLC,31.505557,-104.235474,Culberson,TX,3rd Bone Spring,ACTIVE,2023-04-15,2023-06-08,9771,14954,5602,9641,9971
42-389-50869,Anderson 8H,Reeves County,Texas Energy LLC,31.310317,-103.338379,Reeves,TX,Wolfcamp B,ACTIVE,2024-09-27,2024-11-28,11984,24053,12008,11636,12188
42-389-72710,Harrison 5H,Orla,Texas Energy LLC,31.013661,-103.717056,Reeves,TX,Wolfcamp C,ACTIVE,2025-02-11,2025-04-27,10521,24406,14040,10257,10761
42-389-95133,Bailey 4V,Mentone,Texas Energy LLC,31.330188,-103.400913,Reeves,TX,Wolfcamp A,ACTIVE,2024-11-28,2025-01-13,11677,22129,10785,11219,11836
42-389-41074,Ward 8H,Monahans,Texas Energy LLC,31.047776,-103.201798,Reeves,TX,Delaware Mountain,ACTIVE,2023-04-13,2023-06-08,12031,25308,13724,11593,12159
42-389-65968,Nelson 12H,Mentone,Texas Energy LLC,31.263367,-103.510369,Reeves,TX,1st Bone Spring,ACTIVE,2022-08-24,2022-11-21,13454,23096,9705,13043,13721
42-475-68847,Hughes 6V,Pecos Valley,Texas Energy LLC,31.212469,-103.080698,Ward,TX,Wolfcamp A,SHUT-IN,2024-02-25,2024-05-08,9395,20581,11349,9048,9586
42-389-56429,Simmons 10V,Reeves County,Texas Energy LLC,31.084028,-103.487295,Reeves,TX,Avalon Shale,ACTIVE,2024-01-01,2024-02-28,10939,24050,12779,10780,11050
42-475-86373,West 8H,Delaware Basin,Texas Energy LLC,31.239976,-103.117783,Ward,TX,Brushy Canyon,ACTIVE,2024-12-22,2025-03-15,9039,23132,14325,8567,9303
42-495-87047,Fisher 11H,Wink,Texas Energy LLC,31.958624,-103.030124,Winkler,TX,Wolfcamp A,ACTIVE,2022-02-03,2022-03-23,9958,19156,9127,9822,10155
42-389-68609,Diaz 8H,Wink,Texas Energy LLC,31.373564,-103.144673,Reeves,TX,2nd Bone Spring,ACTIVE,2024-03-25,2024-05-13,10771,16684,6022,10473,10906
42-495-36380,Brooks 4V,Reeves County,Texas Energy LLC,31.797894,-103.477882,Winkler,TX,Wolfcamp A,ACTIVE,2024-04-27,2024-07-17,11112,25685,14461,10617,11334
42-475-90505,Minerals 5H,Coyanosa,Texas Energy LLC,31.671487,-103.395176,Ward,TX,3rd Bone Spring,SHUT-IN,2025-03-21,2025-05-24,10482,19795,9139,10304,10715
42-475-91580,Henderson 1H,Van Horn,Texas Energy LLC,31.437956,-103.072824,Ward,TX,Wolfcamp B,SHUT-IN,2024-05-11,2024-06-28,8730,22950,14674,8565,8994
42-495-94652,White 10H,Loving,Texas Energy LLC,31.772073,-103.069411,Winkler,TX,3rd Bone Spring,ACTIVE,2022-05-25,2022-08-14,12016,17618,5974,11696,12249
42-389-88066,Patterson 6H,Coyanosa,Texas Energy LLC,31.746816,-103.168261,Reeves,TX,Wolfcamp C,ACTIVE,2024-10-08,2024-12-28,12969,21357,8504,12477,13159
42-371-77357,Wood 5H,Loving,Texas Energy LLC,30.844247,-103.559355,Pecos,TX,Wolfcamp A,ACTIVE,2022-12-25,2023-02-13,13209,21558,8598,12920,13454
42-371-84656,Long 1H,Culberson County,Texas Energy LLC,31.240664,-103.274542,Pecos,TX,Delaware Mountain,ACTIVE,2024-03-04,2024-04-30,10612,24251,13223,10132,10901
42-109-73975,Roberts 7H,Red Hills,Texas Energy LLC,31.962893,-104.511606,Culberson,TX,Bone Spring,ACTIVE,2025-02-14,2025-04-13,10796,17448,7072,10606,10933
42-389-32174,Bass 8V,Red Hills,Texas Energy LLC,31.715278,-103.669079,Reeves,TX,Wolfcamp C,ACTIVE,2022-06-14,2022-08-11,9733,21250,11503,9413,9913
42-389-98719,Baker 4H,Fort Stockton,Texas Energy LLC,31.703466,-103.779736,Reeves,TX,Wolfcamp B,ACTIVE,2022-06-23,2022-08-19,10744,22122,11035,10407,10923
42-389-90390,Evans 8H,Van Horn,Texas Energy LLC,31.206355,-103.468717,Reeves,TX,Avalon Shale,ACTIVE,2024-05-13,2024-07-23,9556,21653,12222,9194,9822
42-475-84074,Minerals 1H,Delaware Basin,Texas Energy LLC,31.285415,-103.448058,Ward,TX,3rd Bone Spring,ACTIVE,2022-01-20,2022-04-17,11820,25240,13593,11504,11947
42-389-89562,Ward 1H,Kermit,Texas Energy LLC,31.51985,-103.21366,Reeves,TX,Brushy Canyon,ACTIVE,2025-01-11,2025-02-27,10366,19382,9062,10130,10650
42-371-61845,Harris 10H,Delaware Basin,Texas Energy LLC,30.559532,-103.314595,Pecos,TX,2nd Bone Spring,ACTIVE,2022-12-26,2023-03-02,9076,16731,7559,8656,9373
42-371-67941,Flores 10H,Wink,Texas Energy LLC,31.201395,-103.787953,Pecos,TX,Avalon Shale,SHUT-IN,2025-11-18,2026-02-04,12546,20115,7198,12188,12715
42-495-98506,Bryant 9V,Mentone,Texas Energy LLC,32.064313,-103.001601,Winkler,TX,Wolfcamp A,ACTIVE,2022-04-02,2022-05-29,9660,19946,9910,9450,9955
42-475-45378,Ross 2H,Loving,Texas Energy LLC,31.320662,-103.027339,Ward,TX,Wolfcamp A,ACTIVE,2025-09-20,2025-11-07,11125,25398,13980,10987,11184
42-109-60803,Cooper 6H,Delaware Basin,Texas Energy LLC,31.364302,-104.511746,Culberson,TX,Wolfcamp C,ACTIVE,2022-09-14,2022-12-09,11743,19343,7539,11598,12001
42-371-77091,Nelson 4H,Pecos Valley,Texas Energy LLC,31.22213,-103.798063,Pecos,TX,Wolfcamp A,ACTIVE,2025-04-26,2025-06-28,11803,23977,12429,11400,11881
42-389-86169,Land Trust 12H,Pecos Valley,Texas Energy LLC,31.394119,-103.735379,Reeves,TX,Brushy Canyon,ACTIVE,2022-03-10,2022-05-17,11426,25386,14371,11306,11518
42-389-72600,Minerals 5H,Culberson County,Texas Energy LLC,31.145472,-103.651516,Reeves,TX,Wolfcamp B,SHUT-IN,2024-09-01,2024-11-18,10065,16214,6402,9597,10219
42-475-75227,Perry 11V,Fort Stockton,Texas Energy LLC,31.322113,-103.130508,Ward,TX,Wolfcamp A,SHUT-IN,2023-03-03,2023-05-10,9592,22869,13416,9466,9750
42-475-48643,Thompson 12V,Van Horn,Texas Energy LLC,31.431789,-103.176949,Ward,TX,Wolfcamp A,ACTIVE,2023-07-14,2023-09-17,12193,17284,5408,11861,12394
42-301-51750,Nelson 10H,Red Hills,Texas Energy LLC,31.656607,-103.738374,Loving,TX,Bone Spring,ACTIVE,2023-06-24,2023-08-16,9845,23668,13591,9503,9897
42-301-32559,Jordan 4V,Van Horn,Texas Energy LLC,31.659361,-103.784811,Loving,TX,Brushy Canyon,ACTIVE,2024-08-03,2024-10-13,11018,22888,11594,10576,11203
42-371-64082,West 10V,Fort Stockton,Texas Energy LLC,31.206686,-103.101456,Pecos,TX,2nd Bone Spring,ACTIVE,2022-05-26,2022-08-04,8826,19688,10953,8360,9113
42-109-94887,Butler 5V,Balmorhea,Texas Energy LLC,31.618332,-104.007317,Culberson,TX,Bone Spring,ACTIVE,2025-11-16,2026-02-07,9385,22136,12804,9087,9515
42-389-59464,Kelly 9H,Culberson County,Texas Energy LLC,31.789425,-103.79889,Reeves,TX,Wolfcamp A,ACTIVE,2024-10-16,2024-12-02,12782,17904,5246,12287,12975
42-389-36413,White 1H,Grandfalls,Texas Energy LLC,31.201689,-103.496695,Reeves,TX,2nd Bone Spring,ACTIVE,2025-02-10,2025-04-05,10821,20078,9576,10503,11067
42-109-34854,Land Trust 6V,Kermit,Texas Energy LLC,31.723513,-104.7413,Culberson,TX,Wolfcamp A,ACTIVE,2022-12-24,2023-02-13,11129,23298,12403,10891,11362
42-389-47038,Martin 9H,Reeves County,Texas Energy LLC,31.067629,-103.114472,Reeves,TX,Brushy Canyon,ACTIVE,2024-12-18,2025-02-27,8909,15085,6211,8784,9179
42-475-46153,Gray 7V,Fort Stockton,Texas Energy LLC,31.634401,-103.337444,Ward,TX,1st Bone Spring,ACTIVE,2023-04-13,2023-06-19,10040,19018,8977,9690,10332
42-389-99293,Roberts 8H,Red Hills,Texas Energy LLC,31.73789,-103.422178,Reeves,TX,Wolfcamp B,ACTIVE,2025-09-11,2025-12-04,10255,23043,13247,9953,10345
42-389-74471,Moore 5H,Delaware Basin,Texas Energy LLC,31.367585,-103.198935,Reeves,TX,Avalon Shale,ACTIVE,2025-07-16,2025-10-07,9977,24639,14437,9618,10225
42-371-67957,Ford 12H,Orla,Texas Energy LLC,30.737993,-102.951917,Pecos,TX,Avalon Shale,ACTIVE,2022-05-24,2022-08-18,10358,16302,5553,10113,10595
