EVENT_ID,API_NO,WELL_NAME,FIELD,EVENT_DATE,EVENT_TYPE,EVENT_DESCRIPTION,DURATION_HOURS,COST_USD
EVT-002011,42-389-58091,Graham 4H,Grandfalls,2024-08-08,MAINTENANCE,"Increasing water cut trend noted, zone isolation evaluation in progress",18.6,18368.74
EVT-002012,42-389-58091,Graham 4H,Grandfalls,2024-02-02,CHEMICAL_TREATMENT,Emulsion issues at separator requiring increased demulsifier dosage,34.1,15385.5
EVT-002013,42-389-58091,Graham 4H,Grandfalls,2024-02-05,CHEMICAL_TREATMENT,"Sand production increasing, pump wear accelerating",7.9,24608.46
EVT-002014,42-389-58091,Graham 4H,Grandfalls,2023-07-14,EQUIPMENT_CHANGE,"Increasing water cut trend noted, zone isolation evaluation in progress",71.9,118407.02
EVT-002015,42-389-58091,Graham 4H,Grandfalls,2023-04-06,INSPECTION,"Scale buildup detected in tubing, chemical squeeze scheduled",36.7,8509.28
EVT-002016,42-389-58091,Graham 4H,Grandfalls,2026-06-21,FAILURE,"Increasing water cut trend noted, zone isolation evaluation in progress",412.4,166775.14
EVT-002017,42-495-47004,Reynolds 12H,Ward-Estes,2024-01-13,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,19.0,16061.32
EVT-002018,42-495-47004,Reynolds 12H,Ward-Estes,2022-11-30,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,28.2,6822.86
EVT-002019,42-475-35540,University 5H,Imperial,2025-12-06,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,42.0,16924.49
EVT-002020,42-301-80418,Flores 2H,Reeves County,2024-10-20,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,40.1,9975.3
EVT-002021,42-301-80418,Flores 2H,Reeves County,2023-09-17,INSPECTION,Routine preventive maintenance on ESP system including motor inspection and cable check,9.8,12403.47
EVT-002022,42-301-80418,Flores 2H,Reeves County,2026-05-05,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,4.0,19865.19
EVT-002023,42-389-46102,Sanders 6H,Coyanosa,2026-04-17,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,5.2,4894.88
EVT-002024,42-389-44474,Harris 2V,Mentone,2025-07-05,EQUIPMENT_CHANGE,"Gas lift valve partially plugged, reduced injection efficiency",114.8,237520.48
EVT-002025,42-389-44474,Harris 2V,Mentone,2025-05-30,INSPECTION,"Scale buildup detected in tubing, chemical squeeze scheduled",17.5,8908.83
EVT-002026,42-389-44474,Harris 2V,Mentone,2025-07-31,EQUIPMENT_CHANGE,"Scale buildup detected in tubing, chemical squeeze scheduled",43.1,80063.54
EVT-002027,42-389-44474,Harris 2V,Mentone,2026-01-26,CHEMICAL_TREATMENT,"Gas lift valve partially plugged, reduced injection efficiency",43.4,22191.18
EVT-002028,42-389-44474,Harris 2V,Mentone,2025-05-07,CHEMICAL_TREATMENT,"Gas lift valve partially plugged, reduced injection efficiency",37.6,24342.88
EVT-002029,42-389-44474,Harris 2V,Mentone,2025-02-24,EQUIPMENT_CHANGE,"Paraffin accumulation restricting flow, hot oil treatment performed",124.5,247173.13
EVT-002030,42-389-44474,Harris 2V,Mentone,2026-05-22,EQUIPMENT_CHANGE,"Paraffin accumulation restricting flow, hot oil treatment performed",55.5,160590.44
EVT-002031,42-495-56365,Hamilton 11H,Grandfalls,2024-11-15,WORKOVER,"VSD drive failure causing ESP shutdown, replacement ordered",273.7,1418463.52
EVT-002032,42-495-56365,Hamilton 11H,Grandfalls,2025-09-19,EQUIPMENT_CHANGE,"Tubing leak detected at depth, production ceased for workover",89.8,237897.42
EVT-002033,42-495-56365,Hamilton 11H,Grandfalls,2023-05-21,FAILURE,"Christmas tree valve failure, emergency well control initiated",356.0,330380.35
EVT-002034,42-495-56365,Hamilton 11H,Grandfalls,2022-09-25,FAILURE,"Casing collapse detected during pressure test, integrity compromised",434.1,413744.5
EVT-002035,42-495-56365,Hamilton 11H,Grandfalls,2024-01-01,WORKOVER,Electrical cable failure on ESP causing complete shutdown,467.0,1630415.88
EVT-002036,42-495-56365,Hamilton 11H,Grandfalls,2023-02-12,FAILURE,Electrical cable failure on ESP causing complete shutdown,119.0,323120.82
EVT-002037,42-495-56365,Hamilton 11H,Grandfalls,2023-01-14,FAILURE,Complete ESP system failure - motor burnout and pump lockup,330.8,503943.59
EVT-002038,42-495-56365,Hamilton 11H,Grandfalls,2026-05-25,FAILURE,"ESP motor failure due to overheating, well shut-in pending replacement",40.5,622831.54
EVT-002039,42-495-56365,Hamilton 11H,Grandfalls,2026-06-25,FAILURE,"ESP motor failure due to overheating, well shut-in pending replacement",470.6,778002.18
EVT-002040,42-371-45534,Wheeler 6H,Kermit,2026-05-20,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,8.6,22153.81
EVT-002041,42-371-45534,Wheeler 6H,Kermit,2025-12-11,INSPECTION,Scheduled wellhead maintenance and valve replacement,39.7,5108.93
EVT-002042,42-371-45534,Wheeler 6H,Kermit,2026-01-18,INSPECTION,Routine tubing pressure test and casing inspection,5.4,16875.06
EVT-002043,42-389-48236,Murphy 10V,Van Horn,2025-12-31,INSPECTION,Annual safety valve inspection and function test completed,13.9,18169.53
EVT-002044,42-389-48236,Murphy 10V,Van Horn,2025-09-26,INSPECTION,Scheduled wellhead maintenance and valve replacement,6.0,11602.76
EVT-002045,42-475-81983,Mitchell 5H,Balmorhea,2026-01-28,MAINTENANCE,Annual safety valve inspection and function test completed,13.2,18024.54
EVT-002046,42-475-81983,Mitchell 5H,Balmorhea,2026-05-19,INSPECTION,Annual safety valve inspection and function test completed,2.5,4913.17
EVT-002047,42-475-81983,Mitchell 5H,Balmorhea,2026-06-13,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,22.3,14054.05
EVT-002048,42-475-81983,Mitchell 5H,Balmorhea,2026-02-17,MAINTENANCE,Routine tubing pressure test and casing inspection,29.8,2387.51
EVT-002049,42-389-87497,Resources 2H,Pecos Valley,2024-07-12,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,5.2,2231.05
EVT-002050,42-389-87497,Resources 2H,Pecos Valley,2025-09-18,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,15.3,5880.37
EVT-002051,42-389-89826,Gray 10H,Coyanosa,2025-09-23,MAINTENANCE,Routine tubing pressure test and casing inspection,6.9,3001.1
EVT-002052,42-389-89826,Gray 10H,Coyanosa,2025-02-08,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,29.3,21765.01
EVT-002053,42-389-89826,Gray 10H,Coyanosa,2024-01-13,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,18.5,8600.68
EVT-002054,42-371-94688,Scott 5H,Pecos Valley,2026-04-19,INSPECTION,Scheduled wellhead maintenance and valve replacement,37.3,2956.54
EVT-002055,42-371-94688,Scott 5H,Pecos Valley,2026-04-14,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,3.5,15860.47
EVT-002056,42-389-53853,Flores 4H,Toyah,2023-11-07,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,19.9,17426.28
EVT-002057,42-389-53853,Flores 4H,Toyah,2025-03-19,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,27.9,22918.16
EVT-002058,42-389-53853,Flores 4H,Toyah,2023-08-31,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,27.7,13531.9
EVT-002059,42-109-82460,Hill 12V,Kermit,2025-12-27,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,16.0,24409.18
EVT-002060,42-109-82460,Hill 12V,Kermit,2026-01-18,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,29.9,3179.48
EVT-002061,42-109-82460,Hill 12V,Kermit,2026-05-21,INSPECTION,Annual safety valve inspection and function test completed,25.4,12208.92
EVT-002062,42-371-47466,Peterson 5H,Buena Vista,2025-06-30,MAINTENANCE,Annual safety valve inspection and function test completed,30.8,15814.7
EVT-002063,42-301-34374,Hughes 11H,Loving,2026-01-11,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,36.5,5789.54
EVT-002064,42-301-34374,Hughes 11H,Loving,2025-12-20,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,45.0,24326.13
EVT-002065,42-301-34374,Hughes 11H,Loving,2025-11-29,MAINTENANCE,Routine tubing pressure test and casing inspection,41.8,5286.01
EVT-002066,42-389-92596,Cattle Co 12H,Toyah,2025-10-13,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,46.0,11090.26
EVT-002067,42-389-92596,Cattle Co 12H,Toyah,2026-06-02,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,40.0,592.66
EVT-002068,42-389-92596,Cattle Co 12H,Toyah,2025-08-22,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,25.5,16484.07
EVT-002069,42-389-92596,Cattle Co 12H,Toyah,2026-04-03,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,34.6,1067.93
EVT-002070,42-495-54410,Davis 1H,Imperial,2025-10-12,INSPECTION,Annual safety valve inspection and function test completed,40.7,10148.93
EVT-002071,42-495-54410,Davis 1H,Imperial,2024-01-24,MAINTENANCE,Routine tubing pressure test and casing inspection,6.6,12290.43
EVT-002072,42-495-54410,Davis 1H,Imperial,2022-09-05,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,14.9,8414.79
EVT-002073,42-389-61766,Hayes 6V,Coyanosa,2026-05-20,INSPECTION,Quarterly ESP system diagnostic and vibration analysis completed,9.0,1552.34
EVT-002074,42-389-61766,Hayes 6V,Coyanosa,2026-02-02,INSPECTION,Annual safety valve inspection and function test completed,36.1,11511.85
EVT-002075,42-389-61766,Hayes 6V,Coyanosa,2026-04-26,INSPECTION,Routine preventive maintenance on ESP system including motor inspection and cable check,34.7,22848.58
EVT-002076,42-389-61766,Hayes 6V,Coyanosa,2026-06-10,CHEMICAL_TREATMENT,Routine tubing pressure test and casing inspection,29.3,23872.11
EVT-002077,42-109-68293,Evans 2H,Monahans,2025-08-30,MAINTENANCE,Routine preventive maintenance on ESP system including motor inspection and cable check,46.2,20457.74
EVT-002078,42-109-68293,Evans 2H,Monahans,2024-09-14,INSPECTION,Annual safety valve inspection and function test completed,44.9,7952.94
EVT-002079,42-109-68293,Evans 2H,Monahans,2024-03-09,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,31.7,3995.29
EVT-002080,42-475-57376,Turner 4H,Buena Vista,2026-03-28,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,32.7,2679.98
EVT-002081,42-475-57376,Turner 4H,Buena Vista,2026-06-11,INSPECTION,Scheduled wellhead maintenance and valve replacement,13.6,13819.71
EVT-002082,42-301-69595,Roberts 1H,Red Hills,2025-08-29,CHEMICAL_TREATMENT,Routine tubing pressure test and casing inspection,28.3,23325.89
EVT-002083,42-301-69595,Roberts 1H,Red Hills,2025-10-02,MAINTENANCE,Routine tubing pressure test and casing inspection,4.2,20816.39
EVT-002084,42-301-69595,Roberts 1H,Red Hills,2025-03-24,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,2.5,23112.54
EVT-002085,42-475-79421,Taylor 1H,Kermit,2023-09-28,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,32.0,16445.07
EVT-002086,42-475-79421,Taylor 1H,Kermit,2026-05-27,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,39.9,15630.69
EVT-002087,42-475-79421,Taylor 1H,Kermit,2025-07-16,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,17.5,9395.35
EVT-002088,42-389-60347,Owens 4H,Toyah,2025-09-14,MAINTENANCE,Routine preventive maintenance on ESP system including motor inspection and cable check,41.5,1108.8
EVT-002089,42-475-85303,Gray 2H,Coyanosa,2025-07-13,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,10.5,24155.11
EVT-002090,42-109-46803,Alexander 11H,Van Horn,2025-12-14,MAINTENANCE,Annual safety valve inspection and function test completed,13.5,18714.01
EVT-002091,42-109-46803,Alexander 11H,Van Horn,2024-04-19,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,43.2,18752.89
EVT-002092,42-109-46803,Alexander 11H,Van Horn,2023-11-19,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,17.0,5360.31
EVT-002093,42-109-46803,Alexander 11H,Van Horn,2024-10-21,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,7.4,16157.53
EVT-002094,42-389-83015,Morgan 3V,Fort Stockton,2025-11-12,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,29.0,9804.46
EVT-002095,42-389-83015,Morgan 3V,Fort Stockton,2026-05-15,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,12.5,2319.98
EVT-002096,42-389-83015,Morgan 3V,Fort Stockton,2025-10-18,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,24.4,710.09
EVT-002097,42-389-83015,Morgan 3V,Fort Stockton,2025-12-09,MAINTENANCE,Routine tubing pressure test and casing inspection,44.7,13139.33
EVT-002098,42-475-56902,Sullivan 3V,Grandfalls,2025-11-25,MAINTENANCE,Routine tubing pressure test and casing inspection,43.3,18016.23
EVT-002099,42-475-56902,Sullivan 3V,Grandfalls,2025-08-15,INSPECTION,Scheduled wellhead maintenance and valve replacement,8.9,21102.18
EVT-002100,42-475-56902,Sullivan 3V,Grandfalls,2026-02-23,INSPECTION,Routine preventive maintenance on ESP system including motor inspection and cable check,41.0,9944.73
EVT-002101,42-389-45775,Myers 4H,Mentone,2026-02-05,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,11.7,6534.75
EVT-002102,42-389-45775,Myers 4H,Mentone,2025-10-08,MAINTENANCE,Routine tubing pressure test and casing inspection,25.6,7885.51
EVT-002103,42-475-62151,Wood 5H,Ward-Estes,2026-01-16,INSPECTION,Routine tubing pressure test and casing inspection,33.9,5011.14
EVT-002104,42-475-30942,Turner 2H,Delaware Basin,2023-09-24,FAILURE,Electrical cable failure on ESP causing complete shutdown,117.2,311071.01
EVT-002105,42-475-30942,Turner 2H,Delaware Basin,2025-05-05,EQUIPMENT_CHANGE,"Christmas tree valve failure, emergency well control initiated",105.7,217759.3
EVT-002106,42-475-30942,Turner 2H,Delaware Basin,2024-06-26,FAILURE,Gas lift valve failure causing complete loss of artificial lift,443.1,443554.24
EVT-002107,42-475-30942,Turner 2H,Delaware Basin,2024-12-24,WORKOVER,"Rod parting at depth, well dead, workover rig scheduled",278.2,1962209.03
EVT-002108,42-475-30942,Turner 2H,Delaware Basin,2026-05-20,FAILURE,"Rod parting at depth, well dead, workover rig scheduled",455.6,189248.41
EVT-002109,42-475-30942,Turner 2H,Delaware Basin,2026-05-27,FAILURE,"Downhole pump seized due to severe sand production, pulling unit dispatched",153.4,277337.49
EVT-002110,42-495-94853,Diaz 10H,Balmorhea,2024-01-28,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,10.7,4382.69
EVT-002111,42-495-94853,Diaz 10H,Balmorhea,2024-06-18,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,22.6,23504.24
EVT-002112,42-495-94853,Diaz 10H,Balmorhea,2025-07-19,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,16.5,17771.95
EVT-002113,42-495-94853,Diaz 10H,Balmorhea,2024-01-30,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,19.7,17919.69
EVT-002114,42-371-99174,Ford 9V,Red Hills,2024-12-19,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,23.4,7436.41
EVT-002115,42-371-99174,Ford 9V,Red Hills,2024-11-17,MAINTENANCE,Routine preventive maintenance on ESP system including motor inspection and cable check,6.2,13203.16
EVT-002116,42-371-99174,Ford 9V,Red Hills,2026-05-27,MAINTENANCE,Routine tubing pressure test and casing inspection,37.7,14237.75
EVT-002117,42-371-40322,Hart 9H,Imperial,2026-05-29,WORKOVER,"ESP motor failure due to overheating, well shut-in pending replacement",461.2,898045.3
EVT-002118,42-371-40322,Hart 9H,Imperial,2025-05-04,FAILURE,"Casing collapse detected during pressure test, integrity compromised",223.9,121964.08
EVT-002119,42-371-40322,Hart 9H,Imperial,2025-12-03,FAILURE,Electrical cable failure on ESP causing complete shutdown,414.2,514873.41
EVT-002120,42-371-40322,Hart 9H,Imperial,2024-01-22,EQUIPMENT_CHANGE,Electrical cable failure on ESP causing complete shutdown,103.3,296965.36
EVT-002121,42-371-40322,Hart 9H,Imperial,2025-04-24,FAILURE,"VSD drive failure causing ESP shutdown, replacement ordered",92.4,75147.47
EVT-002122,42-371-40322,Hart 9H,Imperial,2024-04-22,FAILURE,"ESP motor failure due to overheating, well shut-in pending replacement",314.5,479352.52
EVT-002123,42-371-40322,Hart 9H,Imperial,2026-06-09,FAILURE,"Downhole pump seized due to severe sand production, pulling unit dispatched",245.8,698551.87
EVT-002124,42-371-40322,Hart 9H,Imperial,2026-06-08,FAILURE,"ESP motor failure due to overheating, well shut-in pending replacement",377.8,25864.67
EVT-002125,42-371-36975,Green 1H,Fort Stockton,2025-09-05,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,5.4,1667.85
EVT-002126,42-389-44210,State 4H,Van Horn,2026-03-23,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,13.5,5074.91
EVT-002127,42-475-58837,Davis 11H,Mentone,2024-06-26,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,24.4,16922.65
EVT-002128,42-475-58837,Davis 11H,Mentone,2026-05-26,MAINTENANCE,Annual safety valve inspection and function test completed,45.0,7970.45
EVT-002129,42-475-58837,Davis 11H,Mentone,2025-12-17,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,3.5,7214.27
EVT-002130,42-371-37157,Adams 11H,Wink,2026-05-23,MAINTENANCE,Routine tubing pressure test and casing inspection,26.4,2922.11
EVT-002131,42-371-37157,Adams 11H,Wink,2026-04-16,INSPECTION,Annual safety valve inspection and function test completed,43.8,19466.44
EVT-002132,42-109-61958,Bell 7H,Buena Vista,2024-07-31,EQUIPMENT_CHANGE,"Scale buildup detected in tubing, chemical squeeze scheduled",53.3,112489.44
EVT-002133,42-109-61958,Bell 7H,Buena Vista,2026-06-15,INSPECTION,"Elevated motor temperature detected, monitoring increased frequency",45.5,14290.61
EVT-002134,42-109-61958,Bell 7H,Buena Vista,2026-04-03,INSPECTION,"Increasing water cut trend noted, zone isolation evaluation in progress",29.1,9557.72
EVT-002135,42-109-61958,Bell 7H,Buena Vista,2026-06-25,EQUIPMENT_CHANGE,"Elevated motor temperature detected, monitoring increased frequency",100.1,35947.3
EVT-002136,42-495-52084,Cook 2V,Mentone,2024-02-26,INSPECTION,Routine tubing pressure test and casing inspection,16.2,19576.82
EVT-002137,42-495-52084,Cook 2V,Mentone,2023-03-11,INSPECTION,Annual safety valve inspection and function test completed,3.9,6201.81
EVT-002138,42-495-52084,Cook 2V,Mentone,2024-07-11,MAINTENANCE,Annual safety valve inspection and function test completed,5.0,23272.91
EVT-002139,42-389-52630,Thompson 11H,Delaware Basin,2026-02-09,FAILURE,Gas lift valve failure causing complete loss of artificial lift,38.5,79003.91
EVT-002140,42-389-52630,Thompson 11H,Delaware Basin,2026-05-26,WORKOVER,"Rod parting at depth, well dead, workover rig scheduled",577.4,674689.86
EVT-002141,42-389-52630,Thompson 11H,Delaware Basin,2026-04-30,WORKOVER,Gas lift valve failure causing complete loss of artificial lift,630.5,1181369.29
EVT-002142,42-389-52630,Thompson 11H,Delaware Basin,2026-06-23,FAILURE,Gas lift valve failure causing complete loss of artificial lift,182.1,108398.38
EVT-002143,42-389-52630,Thompson 11H,Delaware Basin,2026-06-20,FAILURE,Electrical cable failure on ESP causing complete shutdown,72.2,735421.49
EVT-002144,42-301-78434,Reed 12H,Imperial,2024-01-14,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,16.0,21145.91
EVT-002145,42-301-78434,Reed 12H,Imperial,2025-08-03,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,33.5,24762.59
EVT-002146,42-389-34514,Brooks 12H,Grandfalls,2024-01-24,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,42.1,21565.8
EVT-002147,42-371-74353,Moore 8V,Toyah,2026-04-04,INSPECTION,Scheduled wellhead maintenance and valve replacement,41.7,8895.17
EVT-002148,42-371-74353,Moore 8V,Toyah,2026-02-26,CHEMICAL_TREATMENT,Routine tubing pressure test and casing inspection,39.0,6407.4
EVT-002149,42-389-82863,Morris 8H,Fort Stockton,2023-08-19,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,45.6,21402.82
EVT-002150,42-389-79175,Myers 6H,Coyanosa,2026-02-28,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,28.9,15952.12
EVT-002151,42-475-35980,Wood 11H,Delaware Basin,2025-11-10,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,38.1,16593.96
EVT-002152,42-475-35980,Wood 11H,Delaware Basin,2026-02-02,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,18.4,3498.26
EVT-002153,42-109-40180,Bass 10H,Red Hills,2026-04-16,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,48.0,12164.2
EVT-002154,42-389-69098,Hill 9H,Reeves County,2025-10-10,MAINTENANCE,Annual safety valve inspection and function test completed,7.9,16100.03
EVT-002155,42-371-59431,Powell 8H,Balmorhea,2023-03-12,INSPECTION,Quarterly ESP system diagnostic and vibration analysis completed,18.1,17653.98
EVT-002156,42-475-81393,Wood 11H,Van Horn,2025-06-10,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,4.0,2290.89
EVT-002157,42-475-81393,Wood 11H,Van Horn,2024-05-13,CHEMICAL_TREATMENT,Routine tubing pressure test and casing inspection,11.0,9555.76
EVT-002158,42-475-81393,Wood 11H,Van Horn,2024-11-10,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,47.5,8683.82
EVT-002159,42-475-81393,Wood 11H,Van Horn,2023-02-05,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,26.0,6088.42
EVT-002160,42-475-37567,Cook 12H,Pecos Valley,2026-04-19,FAILURE,"ESP motor failure due to overheating, well shut-in pending replacement",231.7,127775.88
EVT-002161,42-475-37567,Cook 12H,Pecos Valley,2026-02-17,EQUIPMENT_CHANGE,"Downhole pump seized due to severe sand production, pulling unit dispatched",27.5,117389.27
EVT-002162,42-475-37567,Cook 12H,Pecos Valley,2026-05-17,FAILURE,"VSD drive failure causing ESP shutdown, replacement ordered",44.5,257760.86
EVT-002163,42-475-37567,Cook 12H,Pecos Valley,2024-01-31,FAILURE,"Christmas tree valve failure, emergency well control initiated",68.7,728222.83
EVT-002164,42-475-37567,Cook 12H,Pecos Valley,2024-08-18,FAILURE,"Rod parting at depth, well dead, workover rig scheduled",130.3,758715.9
EVT-002165,42-475-37567,Cook 12H,Pecos Valley,2025-05-19,FAILURE,"Rod parting at depth, well dead, workover rig scheduled",49.6,762582.52
EVT-002166,42-475-37567,Cook 12H,Pecos Valley,2025-10-19,WORKOVER,"Rod parting at depth, well dead, workover rig scheduled",61.0,1960910.76
EVT-002167,42-475-37567,Cook 12H,Pecos Valley,2026-06-11,FAILURE,"Christmas tree valve failure, emergency well control initiated",436.2,503420.98
EVT-002168,42-475-37567,Cook 12H,Pecos Valley,2026-06-22,FAILURE,"Rod parting at depth, well dead, workover rig scheduled",111.0,126590.92
EVT-002169,42-389-37985,Wood 10H,Mentone,2026-02-16,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,19.7,14761.8
EVT-002170,42-389-37985,Wood 10H,Mentone,2026-03-05,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,26.8,22088.5
EVT-002171,42-389-37985,Wood 10H,Mentone,2026-02-07,INSPECTION,Routine tubing pressure test and casing inspection,46.1,5634.87
EVT-002172,42-301-31161,Williams 9V,Coyanosa,2025-10-01,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,36.9,18862.43
EVT-002173,42-301-31161,Williams 9V,Coyanosa,2025-11-15,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,17.3,4776.85
EVT-002174,42-301-31161,Williams 9V,Coyanosa,2025-10-03,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,43.7,13120.79
EVT-002175,42-389-34304,Murphy 9H,Buena Vista,2023-07-28,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,35.5,5365.1
EVT-002176,42-389-34304,Murphy 9H,Buena Vista,2024-09-08,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,2.1,19192.55
EVT-002177,42-389-34304,Murphy 9H,Buena Vista,2025-03-08,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,3.5,977.98
EVT-002178,42-475-73583,Bailey 11H,Fort Stockton,2026-03-20,FAILURE,"Downhole pump seized due to severe sand production, pulling unit dispatched",25.1,638680.91
EVT-002179,42-475-73583,Bailey 11H,Fort Stockton,2026-05-30,WORKOVER,"Rod parting at depth, well dead, workover rig scheduled",641.3,1802451.58
EVT-002180,42-475-73583,Bailey 11H,Fort Stockton,2026-05-10,FAILURE,"VSD drive failure causing ESP shutdown, replacement ordered",93.6,158863.69
EVT-002181,42-475-73583,Bailey 11H,Fort Stockton,2026-03-01,FAILURE,"Christmas tree valve failure, emergency well control initiated",478.5,466135.09
EVT-002182,42-475-73583,Bailey 11H,Fort Stockton,2026-02-21,FAILURE,Complete ESP system failure - motor burnout and pump lockup,185.5,222666.3
EVT-002183,42-475-73583,Bailey 11H,Fort Stockton,2026-07-02,FAILURE,"Hole in tubing at 6500ft, severe production loss and gas migration",314.1,674140.92
EVT-002184,42-475-73583,Bailey 11H,Fort Stockton,2026-07-08,FAILURE,Gas lift valve failure causing complete loss of artificial lift,157.0,178518.85
EVT-002185,42-109-46577,Nelson 9H,Kermit,2026-03-16,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,22.1,17004.64
EVT-002186,42-109-46577,Nelson 9H,Kermit,2026-04-19,CHEMICAL_TREATMENT,Routine tubing pressure test and casing inspection,26.9,24018.56
EVT-002187,42-109-46577,Nelson 9H,Kermit,2026-04-03,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,5.7,10492.7
EVT-002188,42-109-46577,Nelson 9H,Kermit,2025-12-20,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,9.8,9882.28
EVT-002189,42-389-75208,Peterson 2V,Culberson County,2024-02-03,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,27.6,21944.72
EVT-002190,42-389-75208,Peterson 2V,Culberson County,2025-07-06,INSPECTION,Quarterly ESP system diagnostic and vibration analysis completed,44.4,22934.29
EVT-002191,42-389-75208,Peterson 2V,Culberson County,2026-04-23,INSPECTION,Annual safety valve inspection and function test completed,7.8,11262.99
EVT-002192,42-389-75208,Peterson 2V,Culberson County,2024-05-31,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,47.0,1177.07
EVT-002193,42-371-61795,Ross 4V,Loving,2025-10-30,EQUIPMENT_CHANGE,"Downhole pump seized due to severe sand production, pulling unit dispatched",123.8,198088.46
